journal_name,jcr_quartile,impact_factor
Advanced Materials Interfaces,Q2,4.5
Advanced Synthesis & Catalysis,Q1,3.7
Angewandte Chemie,,
Applied Organometallic Chemistry,Q1,4.3
Asian Journal of Organic Chemistry,Q2,2.3
Bulletin of the Chemical Society of Japan,Q2,4.0
CCS Chemistry,,9.2
Carbohydrate Polymers,Q1,13.2
Catalysts,Q2,4.5
ChemMedChem,Q2,3.5
Chemical Engineering Science,Q2,5.1
Chemistry & Biodiversity,Q3,2.9
Chinese Journal of Chemistry,Q2,5.7
Energy & Environmental Science,Q1,30.5
European Polymer Journal,Q1,6.8
Figshare,,
Food & Function,Q1,6.3
Future Medicinal Chemistry,Q3,3.3
IOP Conference Series Earth and Environmental Science,,
Inorganic Chemistry,Q1,4.6
Inorganic Chemistry Communications,Q1,5.9
International Journal of Modern Physics B,Q1,2.3
Journal of Applied Pharmaceutical Science,,
Journal of Cleaner Production,Q1,10.7
Journal of Heterocyclic Chemistry,Q2,2.9
Journal of Materials Science,Q2,4.4
Journal of Pharmacy & Pharmacognosy Research,,1.0
Journal of Saudi Chemical Society,Q2,5.2
LWT,,
Langmuir,Q2,4.4
Metals,Q2,3.1
Nature Chemical Biology,Q1,15.8
Nature Protocols,Q1,18.4
Nature Reviews Methods Primers,Q1,54.2
Nutrition Reviews,Q1,6.3
Open MIND,,
Open Research Europe,,
Organic Preparations and Procedures International,Q3,1.1
Organic Process Research & Development,Q1,3.3
Organometallics,Q2,2.4
Phytomedicine,Q1,11.3
Polymer Chemistry,Q2,3.9
Reviews and Advances in Chemistry,,
Separation and Purification Technology,Q1,9.1
Separations,Q2,3.5
Small,Q1,11.8
Synthetic Communications,Q3,2.0
Tetrahedron,Q3,2.1
The Journal of Physical Chemistry A,Q2,3.0
The Science of The Total Environment,,
ACS Applied Polymer Materials,Q1,5.2
ACS ES&T Engineering,,6.3
ACS Infectious Diseases,Q1,4.5
ACS Pharmacology & Translational Science,,4.0
ACS Polymers Au,,6.7
ACS Sustainable Chemistry & Engineering,Q1,7.6
Accounts of Materials Research,,14.1
Acta Pharmaceutica Sinica B,Q1,14.6
Additive manufacturing,Q1,11.3
Adsorption,Q3,3.3
Aggregate,,14.5
Annals of Phytomedicine An International Journal,,
Antibiotics,,
Applied Research,,2.0
Applied Sciences,Q2,2.9
Applied Surface Science,Q1,6.6
Applied Water Science,Q1,5.7
Archiv der Pharmazie,Q2,3.5
Archives of Toxicology,Q1,10.9
BMC Chemistry,Q2,5.1
BMC Genomics,Q2,3.9
BULLETIN OF STOMATOLOGY AND MAXILLOFACIAL SURGERY,,
Baghdad Journal of Biochemistry and Applied Biological Sciences,,
Beilstein Journal of Organic Chemistry,Q2,2.7
BioMed Research International,,2.9
Bioactive Materials,Q1,23.6
Biochemical and Biophysical Research Communications,Q3,2.5
Biomedicines,Q2,4.5
Biomolecules,Q1,5.6
Bioorganic & Medicinal Chemistry Letters,Q2,2.3
Bioprocess and Biosystems Engineering,Q2,4.3
Biotechnology Research and Innovation,,
Boreal Environment Research Journal Archive,,
Brain Disorders,,
Brazilian Journal of Analytical Chemistry,,1.0
Bulgarian Portal for Open Science,,
Case Studies in Chemical and Environmental Engineering,,
Catalysis Science & Technology,Q2,4.0
Cell,Q1,45.1
Cell Biochemistry and Function,Q2,3.5
Cell Death Discovery,Q1,10.4
Chem Catalysis,,10.7
ChemCatChem,Q2,4.1
ChemElectroChem,Q2,5.2
Chemical & Engineering News,,
Chemical Engineering Journal Advances,,6.9
Chemical Physics Impact,,5.3
Chemistry - An Asian Journal,Q2,3.2
Chemistry Africa,,
Chemosphere,,
Civil Engineering Journal,,
Clinical Nutrition ESPEN,,3.4
Clinical and Translational Science,,
Coatings,Q2,3.4
Colloids and Surfaces A Physicochemical and Engineering Aspects,Q2,5.4
Computational Toxicology,,3.1
Conicet,,
Critical Reviews in Food Science and Nutrition,Q1,10.6
Crystals,Q2,2.9
Cureus,,
Current Green Chemistry,,1.9
Current Indian Science,,
Current Molecular Pharmacology,Q1,7.2
Current Neuropharmacology,Q1,6.1
Current Opinion in Electrochemistry,Q1,6.5
Current Organic Synthesis,Q2,2.6
Current Topics in Medicinal Chemistry,Q2,3.6
Current pharmacogenomics and personalized medicine (Online)/Current pharmacogenomics and personalized medicine,,
DergiPark (Istanbul University),,
Desalination,Q1,9.9
Device,,8.7
Dietetics,,1.8
Discover Chemistry.,,
Discover Food,,3.6
Drug Development Research,Q2,4.2
Drug Discovery Today,Q1,8.7
Egyptian Journal of Chemistry,,1.3
Environmental Chemistry Letters,Q1,25.2
Environmental Research,Q1,8.2
Environmental Science & Technology,Q1,12.2
Environmental Science and Pollution Research,,
Eurasian Journal of Chemistry,,1.0
European Food Research and Technology,Q2,4.2
European Journal of Cancer,Q1,7.9
European Journal of Chemistry,,
European Journal of Life Sciences,,
European Journal of Medicinal Chemistry Reports,,6.7
Expert Review of Anti-infective Therapy,Q1,4.6
Farmaciâ Kazahstana,,
Fish & Shellfish Immunology,Q1,4.2
Food Chemistry Advances,,
Food Safety and Health,,5.5
Frontiers in Chemistry,Q2,5.3
Frontiers in Environmental Science,Q2,4.4
Future Journal of Pharmaceutical Sciences,,4.5
Global Challenges,Q1,7.4
Green Chemistry Letters and Reviews,Q1,7.8
Immunopharmacology and Immunotoxicology,Q2,3.1
Industrial Crops and Products,Q1,6.4
Infectious Diseases Now,Q2,3.0
Inflammopharmacology,Q1,6.3
Inorganica Chimica Acta,Q2,3.3
Inorganics,Q2,3.4
Insects,Q1,3.0
Intelligent Pharmacy,,
International Journal Of Pharmaceutical Research And Allied Sciences,,
International Journal of Applied Pharmaceutics,,
International Journal of Environmental & Analytical Chemistry,Q3,2.8
International Journal of Scientific Research in Biological Sciences,,
Journal of Biomolecular Structure and Dynamics,Q3,2.5
Journal of Carbohydrate Chemistry,Q4,1.0
Journal of Chemical Theory and Computation,Q1,5.8
Journal of Coatings Technology and Research,Q2,3.4
Journal of Community Health Provision,,
Journal of Composites Science,,4.6
Journal of Controlled Release,Q1,12.4
Journal of Ecological Engineering,,1.8
Journal of Energy Chemistry,Q1,15.6
Journal of Environmental Management,Q1,9.2
Journal of Experimental Pharmacology,,
Journal of Future Foods,,10.6
Journal of Hazardous Materials,Q1,10.6
Journal of Hazardous Materials Advances,,9.1
Journal of Hospital Infection,Q1,3.4
Journal of Human Environment and Health Promotion,,
Journal of Indonesian Dental Association,,
Journal of Intelligent Manufacturing,Q1,7.7
Journal of Kermanshah University of Medical Sciences,,
Journal of Macromolecular Science Part A,,
Journal of Materials and Engineering,,
Journal of Nanoparticle Research,Q2,3.5
Journal of Nutrition,Q2,4.2
Journal of Organometallic Chemistry,Q2,2.7
Journal of Pharmaceutical Research International,,
Journal of Polymer Research,Q2,3.5
Journal of Polymers and the Environment,Q1,5.6
Journal of Prosthetic Dentistry,Q1,5.6
Journal of Reinforced Plastics and Composites,Q3,2.3
Journal of Texture Studies,Q3,3.2
Journal of Thermal Analysis and Calorimetry,Q1,4.1
Journal of environmental chemical engineering,Q1,7.5
Journal of the American College of Cardiology,,
Journal of the American Oil Chemists Society,Q3,2.4
Journal of the Pakistan Medical Association,Q3,0.8
Journal of the Turkish Chemical Society Section A Chemistry,,
Jurnal Ilmiah Kedokteran dan Kesehatan,,
Jurnal Kesehatan Manarang,,
Macromolecules,Q1,5.7
Materials Today Communications,Q2,4.9
MedComm – Oncology,,8.5
Medicinal Chemistry,Q3,2.5
Medicinal Research Reviews,Q1,13.6
Metabolites,Q2,4.5
Microbiology,Q4,1.0
Microbiology Research,,2.5
Microchemical Journal,Q1,5.2
Military and tactical medicine Emergency medicine,,
Mini-Reviews in Medicinal Chemistry,Q2,4.0
Monatshefte für Chemie - Chemical Monthly,,
NFS Journal,,3.7
Nanomedicine,Q2,4.3
Nanoscale Advances,Q2,6.3
National Science Review,Q1,18.1
Natural Product Research,Q3,1.8
Nature Reviews Microbiology,Q1,104.6
Nature Water,Q1,30.7
Neurogastroenterology & Motility,Q2,3.0
Nutrition & Metabolism,Q2,3.9
Nutritional Neuroscience,Q2,3.1
Open Science Framework,,
Pathology - Research and Practice,Q1,3.7
PeerJ,Q2,2.9
Pest Management Science,Q1,4.2
Pharmaceutics,Q1,6.9
Pharmacological Reviews,Q1,20.3
Pharmacotherapy in Psychiatry and Neurology,,
Physica Scripta,Q2,2.6
Physical Review Letters,Q1,9.4
Phytochemistry Reviews,Q1,6.3
Phytotherapy Research,Q1,8.1
Plant Foods for Human Nutrition,Q2,3.6
Polyhedron,Q2,2.8
Polymer Bulletin,Q2,4.2
Polymers,Q1,5.8
Polyoxometalates,,10.4
Proceedings of the Institution of Mechanical Engineers Part E Journal of Process Mechanical Engineering,Q3,2.0
Progress in Lipid Research,Q1,18.1
Progress in Organic Coatings,Q1,7.9
RSC Sustainability,,6.6
Rare Metals,Q1,12.1
Rawal Medical Journal,,0.1
Reactions,,4.0
Reactive and Functional Polymers,Q1,5.4
Recent Patents on Anti-Cancer Drug Discovery,Q3,2.4
Renewable and Sustainable Energy Reviews,Q1,18.0
Research Explorer (The University of Manchester),,
Research Society and Development,,
Research on Chemical Intermediates,Q2,3.3
Responsive materials,,22.9
Russian Chemical Reviews,Q1,7.1
Russian Journal of Bioorganic Chemistry,Q3,1.7
Safety,,2.4
Saudi Pharmaceutical Journal,Q2,4.3
Science China Materials,Q1,7.7
ScienceAsia,Q3,0.9
Scientiae Radices,,
Sustainable Chemistry One World,,
SynOpen,,2.5
Synthesis,,
Tenside Surfactants Detergents,Q4,1.5
The Annals of Clinical and Analytical Medicine,,0.1
The Chemical Record,Q1,8.9
The Journal of Chemical Physics,Q1,3.7
TrAC Trends in Analytical Chemistry,Q1,13.5
Translational Cancer Research,Q3,2.1
Trends in Food Science & Technology,Q1,17.4
Trends in Sciences,,
Ultrasonics Sonochemistry,Q1,10.2
Veterinary Record,Q3,0.9
Water,Q2,3.5
World Journal of Chemical and Pharmaceutical Sciences,,
World journal of pharmacy and biotechnology.,,
